Graph_name,n,m,Randomized-1,Greedy-1,Semi-greedy-2,Local_iteration,Local_avg_value,Grasp_iteration,Grasp_Best_Value,Known best solution
G1.rud,800,19176,9589.94125,10956,11145,5,11344.8,50,11489,12078
G2.rud,800,19176,9587.83125,11030,11187,5,11360.2,50,11434,12084
G3.rud,800,19176,9582.1375,11012,11105,5,11366.6,50,11450,12077
G4.rud,800,19176,9585.845,11031,11175,5,11386.4,50,11486,N/A
G5.rud,800,19176,9587.80875,10990,11197,5,11364.6,50,11464,N/A
G6.rud,800,19176,81.2775,1515,1584,5,1913.8,50,1974,N/A
G7.rud,800,19176,-75.12,1362,1515,5,1704.2,50,1810,N/A
G8.rud,800,19176,-85.45625,1331,1410,5,1715.2,50,1843,N/A
G9.rud,800,19176,-34.99,1507,1488,5,1785.0,50,1840,N/A
G10.rud,800,19176,-81.38625,1350,1409,5,1717.0,50,1801,N/A
G11.rud,800,1600,17.1575,434,426,5,446.8,50,472,627
G12.rud,800,1600,-0.925,418,408,5,442.4,50,466,621
G13.rud,800,1600,16.3425,432,436,5,460.8,50,488,645
G14.rud,800,4694,2347.64,2890,2947,5,2971.2,50,2992,3187
G15.rud,800,4661,2330.72125,2873,2893,5,2948.4,50,2968,3169
G16.rud,800,4672,2337.76125,2878,2931,5,2958.6,50,2971,3172
G17.rud,800,4667,2332.59375,2864,2915,5,2956.4,50,2972,N/A
G18.rud,800,4694,33.07875,780,766,5,859.0,50,888,N/A
G19.rud,800,4661,-56.645,681,675,5,749.4,50,779,N/A
G20.rud,800,4672,-21.09375,698,706,5,774.2,50,824,N/A
G21.rud,800,4667,-35.11,704,711,5,785.6,50,830,N/A
G22.rud,2000,19990,9992.837,12346,12680,5,12903.6,50,12983,14123
G23.rud,2000,19990,9995.019,12291,12652,5,12918.6,50,12991,14129
G24.rud,2000,19990,9995.142,12367,12609,5,12877.4,50,12979,14131
G25.rud,2000,19990,9996.969,12408,12610,5,12904.4,50,12973,N/A
G26.rud,2000,19990,9989.531,12355,12661,5,12916.2,50,12977,N/A
G27.rud,2000,19990,-19.9825,2316,2464,5,2802.8,50,2944,N/A
G28.rud,2000,19990,-55.3095,2329,2301,5,2778.0,50,2873,N/A
G29.rud,2000,19990,35.573,2367,2431,5,2894.6,50,2982,N/A
G30.rud,2000,19990,52.2445,2401,2498,5,2859.8,50,2946,N/A
G31.rud,2000,19990,-38.3395,2290,2391,5,2812.4,50,2942,N/A
G32.rud,2000,4000,11.329,1058,1042,5,1107.6,50,1174,1560
G33.rud,2000,4000,-15.495,1000,1046,5,1082.4,50,1130,1537
G34.rud,2000,4000,-25.131,988,996,5,1078.0,50,1124,1541
G35.rud,2000,11778,5888.501,7252,7322,5,7437.8,50,7475,8000
G36.rud,2000,11766,5884.048,7225,7343,5,7440.0,50,7459,7996
G37.rud,2000,11785,5892.0885,7264,7337,5,7438.2,50,7486,8009
G38.rud,2000,11779,5889.005,7305,7356,5,7439.0,50,7478,N/A
G39.rud,2000,11778,12.522,1861,1696,5,2027.8,50,2102,N/A
G40.rud,2000,11766,-47.6895,1834,1683,5,1986.8,50,2093,N/A
G41.rud,2000,11785,-8.253,1876,1757,5,2035.6,50,2117,N/A
G42.rud,2000,11779,60.4375,1989,1876,5,2076.8,50,2194,N/A
G43.rud,1000,9990,4995.705,6188,6314,5,6437.2,50,6495,7027
G44.rud,1000,9990,4994.787,6157,6291,5,6432.0,50,6511,7022
G45.rud,1000,9990,4995.05,6179,6290,5,6433.4,50,6505,7020
G46.rud,1000,9990,4995.968,6150,6352,5,6455.4,50,6512,N/A
G47.rud,1000,9990,4994.402,6220,6310,5,6427.8,50,6505,N/A
G48.rud,3000,6000,2999.7273333333333,6000,6000,5,6000.0,50,6000,6000
G49.rud,3000,6000,2999.7473333333332,6000,6000,5,6000.0,50,6000,6000
G50.rud,3000,6000,3000.172666666667,5880,5860,5,5858.8,50,5870,5988
G51.rud,1000,5909,2953.887,3626,3682,5,3737.8,50,3750,N/A
G52.rud,1000,5916,2958.004,3650,3727,5,3740.4,50,3764,N/A
G53.rud,1000,5914,2955.661,3632,3705,5,3737.6,50,3753,N/A
G54.rud,1000,5916,2959.087,3633,3695,5,3730.2,50,3760,N/A
